name,#_attempts,#_sessions,start_date,end_date,p_success,p_error,p_omission,p_premature,rt_success,rt_error,mean_sess_duration,mean_attempts_per_session,elo_mean,gender,age
alvin,9650,1858,2016-10-25,2019-04-17,0.869119170984456,0.11740932642487047,0.010984455958549223,0.002487046632124352,1736.9470609276261,3372.5048543689322,302234.2351295337,5.193756727664155,822,1,3.3041095890411
walt,1323,293,2017-03-15,2018-03-11,0.5003779289493575,0.36659108087679515,0.0007558578987150416,0.13227513227513227,1537.2598187311178,1676.680412371134,375672.1647770219,4.515358361774744,1171,1,8.73150684931507
olaf,3014,874,2016-10-25,2017-03-30,0.9163901791639018,0.057398805573988056,0.008958195089581952,0.017252820172528202,1229.6741491672701,2484.526011560694,131077.2299270073,3.448512585812357,830,1,4.13424657534247
havanna,873,214,2023-08-16,2023-10-25,0.7399770904925544,0.23367697594501718,0.016036655211912942,0.010309278350515464,1973.6780185758514,2552.1323529411766,305215.67583046964,4.079439252336448,829,2,3.21917808219178
iron,999,459,2023-10-20,2023-11-25,0.6796796796796797,0.2732732732732733,0.013013013013013013,0.03403403403403404,1914.842415316642,2750.421245421245,73733.18218218218,2.176470588235294,783,1,1.77534246575342
jipsy,508,210,2023-10-23,2023-11-26,0.6712598425196851,0.25393700787401574,0.0531496062992126,0.021653543307086614,3569.809384164223,4309.472868217054,155595.968503937,2.419047619047619,750,1,1.73972602739726
lassa,14037,2620,2017-03-24,2019-06-24,0.6831231744674788,0.2957896986535585,0.015744104865712046,0.005343022013250694,2369.6966315569925,3353.0154142581887,376548.71062192775,5.3576335877862595,676,2,5.36986301369863
abricot,9084,1756,2017-04-12,2019-04-17,0.6978203434610304,0.26926464112725673,0.00946719506825187,0.02344782034346103,1401.8072251143712,1974.2375306623057,308704.47809335095,5.173120728929385,862,1,3.15068493150685
patsy,3002,434,2018-10-17,2020-08-09,0.5109926715522984,0.45103264490339773,0.019986675549633577,0.01798800799467022,1748.9354628422425,2076.217872968981,570149.6668887408,6.917050691244239,898,2,15.3095890410959
dory,1266,519,2019-09-29,2020-05-05,0.6398104265402843,0.330173775671406,0.019747235387045814,0.010268562401263823,2197.8012345679012,3061.7033492822966,157989.7101105845,2.439306358381503,657,2,3.03013698630137
yoh,11592,2370,2016-11-08,2019-06-25,0.6983264320220842,0.2833850931677019,0.013888888888888888,0.004399585921325052,1524.5437924644843,2030.938203957382,260190.5156142167,4.891139240506329,835,2,7.23287671232877
berenice,1054,363,2021-05-29,2021-09-02,0.6328273244781784,0.3206831119544592,0.04459203036053131,0.0018975332068311196,4283.868065967016,4625.05325443787,329744.6831119545,2.9035812672176307,913,2,4.88219178082192
olli,3399,835,2016-10-25,2017-03-28,0.9635186819652839,0.03000882612533098,0.00441306266548985,0.002059429243895263,1223.31786259542,2840.3137254901962,169139.0988526037,4.070658682634731,1086,1,5.23287671232877
wallace,19936,3597,2016-10-25,2019-01-17,0.8042235152487961,0.17546147672552168,0.005768459069020866,0.014546548956661316,1361.2292771159484,1862.0254431103488,270682.70756420546,5.54239644147901,1355,1,9.12602739726027
barnabe,7764,1878,2017-04-30,2019-04-13,0.8775115919629057,0.08990211231324059,0.0211231324059763,0.011463163317877383,1681.5774255100544,3484.378223495702,213134.68869139618,4.134185303514377,767,1,2.13698630136986
horus,1068,362,2022-03-19,2022-05-26,0.6863295880149812,0.24812734082397003,0.042134831460674156,0.023408239700374533,2533.818553888131,3095.698113207547,202976.64419475655,2.9502762430939224,839,1,1.44657534246575
patchouli,6447,1297,2016-10-25,2019-04-17,0.7642314254692105,0.18442686520862417,0.010237319683573755,0.041104389638591594,1483.1499898518368,2110.2985702270817,290269.10252830776,4.970701619121049,1082,1,4.97808219178082
