name,#_attempts,#_sessions,start_date,end_date,p_success,p_error,p_omission,p_premature,rt_success,rt_error,mean_sess_duration,mean_attempts_per_session,elo_mean,gender,age
yin,121,46,2016-11-16,2017-06-13,0.7851239669421488,0.17355371900826447,0.024793388429752067,0.01652892561983471,2591.642105263158,2039.5714285714287,167107.21487603305,2.630434782608696,1026,2,6.98904109589041
alaryc,121,36,2016-10-25,2016-11-04,0.9421487603305785,0.049586776859504134,0.008264462809917356,0.0,1454.3859649122808,2388.0,143885.47107438016,3.361111111111111,974,1,3.12876712328767
nenno,121,41,2016-10-25,2016-11-02,0.6942148760330579,0.2809917355371901,0.024793388429752067,0.0,1688.6904761904761,2433.735294117647,105351.56198347108,2.951219512195122,996,1,4.18356164383562
nereis,121,9,2016-11-25,2016-11-25,0.35537190082644626,0.35537190082644626,0.0,0.2892561983471074,1602.5813953488373,1685.4883720930231,225823.88429752065,13.444444444444445,1073,2,17.4821917808219
gaia,121,9,2023-08-11,2023-08-13,0.5702479338842975,0.35537190082644626,0.049586776859504134,0.024793388429752067,1660.376811594203,2125.0697674418607,190152.2479338843,13.444444444444445,708,2,3.54794520547945
hercules,121,17,2022-06-28,2022-06-28,0.5785123966942148,0.38016528925619836,0.03305785123966942,0.008264462809917356,1582.857142857143,2037.6739130434783,156042.5785123967,7.117647058823529,662,1,1.73150684931507
alvin,121,50,2016-11-05,2017-03-20,0.6611570247933884,0.2975206611570248,0.03305785123966942,0.008264462809917356,2301.9125,2892.3611111111113,68376.04958677686,2.42,947,1,3.3041095890411
walt,121,5,2017-03-15,2017-03-15,0.4049586776859504,0.5041322314049587,0.0,0.09090909090909091,1454.9183673469388,1797.2622950819673,1044998.4958677687,24.2,1051,1,8.73150684931507
olaf,121,35,2016-10-25,2016-11-01,0.9586776859504132,0.04132231404958678,0.0,0.0,1214.7155172413793,2531.8,125714.10743801652,3.4571428571428573,983,1,4.13424657534247
havanna,121,12,2023-08-16,2023-08-18,0.6115702479338843,0.38016528925619836,0.008264462809917356,0.0,1558.554054054054,1964.2608695652175,282786.68595041323,10.083333333333334,825,2,3.21917808219178
iron,121,27,2023-10-20,2023-10-20,0.5950413223140496,0.36363636363636365,0.008264462809917356,0.03305785123966942,2100.1666666666665,2621.7727272727275,71826.0,4.481481481481482,756,1,1.77534246575342
jipsy,121,11,2023-10-23,2023-10-25,0.5619834710743802,0.3884297520661157,0.01652892561983471,0.03305785123966942,3931.8529411764707,4207.765957446809,347923.7190082645,11.0,772,1,1.73972602739726
lassa,121,7,2017-03-24,2017-03-25,0.4628099173553719,0.5206611570247934,0.008264462809917356,0.008264462809917356,2056.839285714286,2368.126984126984,281730.6033057851,17.285714285714285,774,2,5.36986301369863
abricot,121,6,2017-04-12,2017-04-14,0.512396694214876,0.4380165289256198,0.01652892561983471,0.03305785123966942,1347.1935483870968,2011.9622641509434,279742.9917355372,20.166666666666668,817,1,3.15068493150685
patsy,121,7,2018-10-17,2018-10-19,0.256198347107438,0.6694214876033058,0.0,0.0743801652892562,1545.8709677419354,1855.4938271604938,596607.1983471074,17.285714285714285,889,2,15.3095890410959
dory,121,14,2019-09-29,2019-09-30,0.5454545454545454,0.4462809917355372,0.008264462809917356,0.0,2702.8030303030305,2577.185185185185,252598.3305785124,8.642857142857142,740,2,3.03013698630137
yoh,121,16,2016-11-08,2016-11-09,0.371900826446281,0.5619834710743802,0.04132231404958678,0.024793388429752067,1693.5555555555557,2241.6470588235293,188883.38016528924,7.5625,948,2,7.23287671232877
berenice,121,8,2021-05-29,2021-05-29,0.4132231404958678,0.5371900826446281,0.049586776859504134,0.0,3790.86,4211.753846153846,431555.62809917354,15.125,856,2,4.88219178082192
olli,121,29,2016-10-25,2016-10-29,0.9752066115702479,0.01652892561983471,0.008264462809917356,0.0,1414.322033898305,2239.5,168233.93388429753,4.172413793103448,1011,1,5.23287671232877
wallace,121,35,2016-10-25,2016-10-27,0.6198347107438017,0.35537190082644626,0.01652892561983471,0.008264462809917356,1497.8666666666666,1917.906976744186,163049.5785123967,3.4571428571428573,1010,1,9.12602739726027
barnabe,121,13,2017-04-30,2017-05-02,0.5867768595041323,0.2809917355371901,0.08264462809917356,0.049586776859504134,2697.1971830985917,2522.205882352941,346421.30578512396,9.307692307692308,686,1,2.13698630136986
